MOVEMENT_ID,mean_coordinate
1,[-118.12053321   34.10309557]
2,[-118.13785063   34.09645121]
3,[-118.13138209   34.09626386]
4,[-118.13224544   34.10349303]
5,[-118.14492317   34.0986815 ]
6,[-118.1528085   34.098628 ]
7,[-118.15075124   34.08341963]
8,[-118.15266639   34.09029573]
9,[-118.15023891   34.09595766]
10,[-118.14184446   34.08538654]
11,[-118.14162277   34.08013327]
12,[-118.13948648   34.07262509]
13,[-118.12911933   34.08759475]
14,[-118.11656383   34.09585388]
15,[-118.11315003   34.08121859]
16,[-118.12013004   34.08627508]
17,[-118.12602952   34.08456533]
18,[-118.12195981   34.07206641]
19,[-118.12637009   34.07659087]
20,[-118.14237141   34.06371094]
21,[-118.1589895    34.06994802]
22,[-118.14907131   34.06458611]
23,[-118.02458802   34.16641559]
24,[-118.05076541   34.15513302]
25,[-118.05385033   34.14265366]
26,[-118.04590074   34.14288099]
27,[-118.05794788   34.13033512]
28,[-118.06251639   34.12621528]
29,[-118.02466274   34.13765353]
30,[-118.0173786    34.12761491]
31,[-118.0173805    34.11636754]
32,[-118.00887226   34.12508532]
33,[-118.01777853   34.10409581]
34,[-118.04199798   34.1093223 ]
35,[-118.0448962    34.11831225]
36,[-118.05970688   34.12243708]
37,[-118.05366659   34.11131672]
38,[-117.99825209   34.09543192]
39,[-118.08350373   33.87690252]
40,[-118.07948407   33.86835637]
41,[-118.08062876   33.86132792]
42,[-117.91079295   34.13965798]
43,[-117.92074133   34.14873872]
44,[-117.90064863   34.15035921]
45,[-117.8913622    34.13688212]
46,[-117.88700063   34.11772844]
47,[-117.89410783   34.10799622]
48,[-117.89532858   34.12746769]
49,[-117.88627962   34.12701505]
50,[-117.90384881   34.12744793]
51,[-117.90265489   34.11780266]
52,[-117.91574078   34.12748959]
53,[-117.92135187   34.1211721 ]
54,[-117.92413315   34.11028977]
55,[-117.90980337   34.11060031]
56,[-117.90235906   34.11029806]
57,[-117.90283844   34.166266  ]
58,[-117.99535596   34.07208473]
59,[-117.9866034    34.07050069]
60,[-117.9903315    34.06412188]
61,[-117.97613065   34.07934462]
62,[-117.96700302   34.07298102]
63,[-117.96330187   34.06800936]
64,[-117.9770713    34.09626167]
65,[-117.9792149    34.08589221]
66,[-117.97156703   34.08661889]
67,[-117.96785671   34.10423943]
68,[-117.94873427   34.10454823]
69,[-117.96082402   34.09631741]
70,[-117.96222732   34.08821915]
71,[-117.95132804   34.08589539]
72,[-117.96347015   34.08260135]
73,[-117.9559671    34.07564118]
74,[-117.96739856   34.06327333]
75,[-117.97331264   34.06472486]
76,[-118.00315917   34.05913217]
77,[-118.16879058   33.99212754]
78,[-118.19460307   33.98065181]
79,[-118.19844176   33.97718283]
80,[-118.19665772   33.97217828]
81,[-118.16896151   33.98282153]
82,[-118.18348441   33.97388149]
83,[-118.17866242   33.97600933]
84,[-118.17538364   33.97475612]
85,[-118.17005788   33.97164525]
86,[-118.11364214   33.89017516]
87,[-118.12090602   33.90596655]
88,[-118.13927538   33.90482779]
89,[-118.13267851   33.89999556]
90,[-118.13507006   33.89227386]
91,[-118.1231598   33.8913832]
92,[-118.12017277   33.89955213]
93,[-118.11897058   33.89288202]
94,[-118.11989086   33.88617334]
95,[-118.13918991   33.88439216]
96,[-118.1236778    33.87998089]
97,[-118.12659431   33.88452674]
98,[-118.14566789   33.88284431]
99,[-118.14676044   33.87331607]
100,[-118.13956467   33.8755502 ]
101,[-118.12915274   33.87510506]
102,[-118.12101669   33.87472563]
103,[-118.11437023   33.87437315]
104,[-118.15518552   33.97317714]
105,[-118.15401579   33.96805158]
106,[-118.14676368   33.96689391]
107,[-118.13758813   33.96879982]
108,[-118.16656597   33.97135513]
109,[-118.16115129   33.96909393]
110,[-118.16675747   33.95719906]
111,[-118.16233636   33.95845456]
